T07	multiples traumatismes non spécifiés
T47.1X3D	intoxication par d'autres antiacides et antisécrétoires gastriques, agression, contact subséquent
T47.1X3S	intoxication par d'autres antiacides et antisécrétoires gastriques, agression, séquelle
T47.1X4A	intoxication par d'autres antiacides et antisécrétoires gastriques, intention indéterminée, contact initial
T47.1X4D	intoxication par d'autres antiacides et antisécrétoires gastriques, intention indéterminée, contact subséquent
T47.1X4S	intoxication par d'autres antiacides et antisécrétoires gastriques, intention indéterminée, séquelle
T47.1X5A	réaction secondaire aux d'autres antiacides et antisécrétoires gastriques, contact initial
T47.1X5D	réaction secondaire aux d'autres antiacides et antisécrétoires gastriques, contact subséquent
T47.1X5S	réaction secondaire aux d'autres antiacides et antisécrétoires gastriques, séquelle
T47.1X6A	sous-dosage en d'autres antiacides et antisécrétoires gastriques, contact initial
T47.1X6D	sous-dosage en d'autres antiacides et antisécrétoires gastriques, contact subséquent
T47.1X6S	sous-dosage en d'autres antiacides et antisécrétoires gastriques, séquelle
T47.2X1A	intoxication par des laxatifs stimulants, accidentelle (involontaire), contact initial
T47.2X1D	intoxication par des laxatifs stimulants, accidentelle (involontaire), contact subséquent
T47.2X1S	intoxication par des laxatifs stimulants, accidentelle (involontaire), séquelle
T47.2X2A	intoxication par des laxatifs stimulants, auto-infligée, contact initial
T47.2X2D	intoxication par des laxatifs stimulants, auto-infligée, contact subséquent
T47.2X2S	intoxication par des laxatifs stimulants, auto-infligée, séquelle
T47.2X3A	intoxication par des laxatifs stimulants, agression, contact initial
T47.2X3D	intoxication par des laxatifs stimulants, agression, contact subséquent
T47.2X3S	intoxication par des laxatifs stimulants, agression, séquelle
T47.2X4A	intoxication par des laxatifs stimulants, intention indéterminée, contact initial
T47.2X4D	intoxication par des laxatifs stimulants, intention indéterminée, contact subséquent
T47.2X4S	intoxication par des laxatifs stimulants, intention indéterminée, séquelle
T47.2X5A	réaction secondaire aux laxatifs stimulants, contact initial
T47.2X5D	réaction secondaire aux laxatifs stimulants, contact subséquent
T47.2X5S	réaction secondaire aux laxatifs stimulants, séquelle
T47.2X6A	sous-dosage en laxatifs stimulants, contact initial
T47.2X6D	sous-dosage en laxatifs stimulants, contact subséquent
T47.2X6S	sous-dosage en laxatifs stimulants, séquelle
T47.3X3A	intoxication par des laxatifs salins et osmotiques, agression, contact initial
T47.3X3D	intoxication par des laxatifs salins et osmotiques, agression, contact subséquent
T47.3X3S	intoxication par des laxatifs salins et osmotiques, agression, séquelle
T47.3X4A	intoxication par des laxatifs salins et osmotiques, intention indéterminée, contact initial
T47.3X4D	intoxication par des laxatifs salins et osmotiques, intention indéterminée, contact subséquent
T47.3X4S	intoxication par des laxatifs salins et osmotiques, intention indéterminée, séquelle
T47.3X5A	réaction secondaire aux laxatifs salins et osmotiques, contact initial
T47.3X5D	réaction secondaire aux laxatifs salins et osmotiques, contact subséquent
T47.3X5S	réaction secondaire aux laxatifs salins et osmotiques, séquelle
T47.3X6A	sous-dosage en laxatifs salins et osmotiques, contact initial
T47.3X6D	sous-dosage en laxatifs salins et osmotiques, contact subséquent
T47.3X6S	sous-dosage en laxatifs salins et osmotiques, séquelle
T47.4X1A	intoxication par d'autres laxatifs, accidentelle (involontaire), contact initial
T47.4X1D	intoxication par d'autres laxatifs, accidentelle (involontaire), contact subséquent
T47.4X1S	intoxication par d'autres laxatifs, accidentelle (involontaire), séquelle
T47.4X2A	intoxication par d'autres laxatifs, auto-infligée, contact initial
T47.4X2D	intoxication par d'autres laxatifs, auto-infligée, contact subséquent
T47.4X2S	intoxication par d'autres laxatifs, auto-infligée, séquelle
T47.4X3A	intoxication par d'autres laxatifs, agression, contact initial
T47.4X3D	intoxication par d'autres laxatifs, agression, contact subséquent
T47.4X3S	intoxication par d'autres laxatifs, agression, séquelle
T47.4X4A	intoxication par d'autres laxatifs, intention indéterminée, contact initial
T47.4X4D	intoxication par d'autres laxatifs, intention indéterminée, contact subséquent
T47.4X4S	intoxication par d'autres laxatifs, intention indéterminée, séquelle
T47.4X5A	réaction secondaire aux d'autres laxatifs, contact initial
T47.4X5D	réaction secondaire aux d'autres laxatifs, contact subséquent
T47.4X5S	réaction secondaire aux d'autres laxatifs, séquelle
T47.4X6A	sous-dosage en d'autres laxatifs, contact initial
T47.4X6D	sous-dosage en d'autres laxatifs, contact subséquent
T47.4X6S	sous-dosage en d'autres laxatifs, séquelle
T47.5X1A	intoxication par des médicaments facilitant la digestion, accidentelle (involontaire), contact initial
T47.5X1D	intoxication par des médicaments facilitant la digestion, accidentelle (involontaire), contact subséquent
T47.5X1S	intoxication par des médicaments facilitant la digestion, accidentelle (involontaire), séquelle
T47.5X2A	intoxication par des médicaments facilitant la digestion, auto-infligée, contact initial
T47.5X2D	intoxication par des médicaments facilitant la digestion, auto-infligée, contact subséquent
T47.5X2S	intoxication par des médicaments facilitant la digestion, auto-infligée, séquelle
T47.5X3A	intoxication par des médicaments facilitant la digestion, agression, contact initial
T47.5X3D	intoxication par des médicaments facilitant la digestion, agression, contact subséquent
T47.5X3S	intoxication par des médicaments facilitant la digestion, agression, séquelle
T47.5X4A	intoxication par des médicaments facilitant la digestion, intention indéterminée, contact initial
T47.5X4D	intoxication par des médicaments facilitant la digestion, intention indéterminée, contact subséquent
T47.5X4S	intoxication par des médicaments facilitant la digestion, intention indéterminée, séquelle
T47.5X5A	réaction secondaire aux médicaments facilitant la digestion, contact initial
T47.5X5D	réaction secondaire aux médicaments facilitant la digestion, contact subséquent
T47.5X5S	réaction secondaire aux médicaments facilitant la digestion, séquelle
T47.5X6A	sous-dosage en médicaments facilitant la digestion, contact initial
T47.5X6D	sous-dosage en médicaments facilitant la digestion, contact subséquent
T47.5X6S	sous-dosage en médicaments facilitant la digestion, séquelle
T47.6X1A	intoxication par des antidiarrhéiques, accidentelle (involontaire), contact initial
T47.6X1D	intoxication par des antidiarrhéiques, accidentelle (involontaire), contact subséquent
T47.6X1S	intoxication par des antidiarrhéiques, accidentelle (involontaire), séquelle
T47.6X2A	intoxication par des antidiarrhéiques, auto-infligée, contact initial
T47.6X2D	intoxication par des antidiarrhéiques, auto-infligée, contact subséquent
T47.6X2S	intoxication par des antidiarrhéiques, auto-infligée, séquelle
T47.6X3A	intoxication par des antidiarrhéiques, agression, contact initial
T47.6X3D	intoxication par des antidiarrhéiques, agression, contact subséquent
T47.6X3S	intoxication par des antidiarrhéiques, agression, séquelle
T47.6X4A	intoxication par des antidiarrhéiques, intention indéterminée, contact initial
T47.6X4D	intoxication par des antidiarrhéiques, intention indéterminée, contact subséquent
T47.6X4S	intoxication par des antidiarrhéiques, intention indéterminée, séquelle
T47.6X5A	réaction secondaire aux antidiarrhéiques, contact initial
T47.6X5D	réaction secondaire aux antidiarrhéiques, contact subséquent
T47.6X5S	réaction secondaire aux antidiarrhéiques, séquelle
T47.6X6A	sous-dosage en antidiarrhéiques, contact initial
T47.6X6D	sous-dosage en antidiarrhéiques, contact subséquent
T47.6X6S	sous-dosage en antidiarrhéiques, séquelle
T47.7X1A	intoxication par des émétiques, accidentelle (involontaire), contact initial
T47.7X1D	intoxication par des émétiques, accidentelle (involontaire), contact subséquent
T47.7X1S	intoxication par des émétiques, accidentelle (involontaire), séquelle
T47.7X2A	intoxication par des émétiques, auto-infligée, contact initial
T47.7X2D	intoxication par des émétiques, auto-infligée, contact subséquent
T47.7X2S	intoxication par des émétiques, auto-infligée, séquelle
T47.7X3A	intoxication par des émétiques, agression, contact initial
T47.7X3D	intoxication par des émétiques, agression, contact subséquent
T47.7X3S	intoxication par des émétiques, agression, séquelle
T47.7X4A	intoxication par des émétiques, intention indéterminée, contact initial
T47.7X4D	intoxication par des émétiques, intention indéterminée, contact subséquent
T47.7X4S	intoxication par des émétiques, intention indéterminée, séquelle
T47.7X5A	réaction secondaire aux émétiques, contact initial
T47.7X5D	réaction secondaire aux émétiques, contact subséquent
T47.7X5S	réaction secondaire aux émétiques, séquelle
T47.7X6A	sous-dosage en émétiques, contact initial
T47.7X6D	sous-dosage en émétiques, contact subséquent
T47.7X6S	sous-dosage en émétiques, séquelle
T47.8X1A	intoxication par d'autres substances agissant essentiellement sur le système gastro-intestinal, accidentelle (involontaire), contact initial
T47.8X1D	intoxication par d'autres substances agissant essentiellement sur le système gastro-intestinal, accidentelle (involontaire), contact subséquent
T47.8X1S	intoxication par d'autres substances agissant essentiellement sur le système gastro-intestinal, accidentelle (involontaire), séquelle
T47.8X2A	intoxication par d'autres substances agissant essentiellement sur le système gastro-intestinal, auto-infligée, contact initial
T47.8X2D	intoxication par d'autres substances agissant essentiellement sur le système gastro-intestinal, auto-infligée, contact subséquent
